Initial,Surname,13 N,13 K,13 L,14 N,14 K,14 L,15 N,15 K,15 L,16 N,16 K,16 L,17 N,17 K,17 L,18 N,18 K,18 L,19 N,19 K,19 L,20 N,20 K,21 K,21 L,22 N,22 K,22 L,23 N,23 K,23 L,24 N,24 K,24 L,25 N,25 K,25 L,RPA,POSS,Played,MissedLast,PC,PC2,RANK,RANK2,RANK3,Elo,EloSigma,EloRank
R,HOULDEN,,NQ,,,NQ,NQ,,QF,QF,QF,,SF,SF,SF,QF,F,F,F,F,F,W,F,SF,F,W,W,F,W,W,F,W,W,W,W,F,W,W,121.575,127.5,19,0,95.3529411764706,95.3529411764706,1.0,1.0,1,1662.0,120.0,3.0
H,YOUNG,,,,,,,,,,,,,,,,,,NQ,NQ,L16,QF,SF,QF,SF,SF,F,SF,W,W,F,W,W,W,W,F,W,W,110.5,120.05,19,0,92.04498125780924,92.04498125780924,2.0,2.0,2,1637.0,120.0,4.0
T,DUNBAR,W,W,W,W,W,W,W,W,W,W,W,W,,W,W,W,W,W,W,W,F,W,W,W,QF,P,W,F,SF,W,P,F,F,F,W,F,SF,97.315,112.0,17,0,86.88839285714286,86.88839285714286,3.0,3.0,3,1666.0,120.0,1.0
S,COOLEY,W,W,W,W,W,W,W,W,W,W,W,W,SF,W,W,W,W,W,W,W,F,W,W,W,QF,QF,W,F,SF,W,P,F,F,P,W,F,P,86.965,100.1,16,1,86.87812187812189,86.87812187812189,4.0,4.0,4,1665.0,120.0,2.0
J,TOOP,SF,SF,,F,F,F,F,F,F,F,F,F,W,F,F,SF,SF,SF,P,P,SF,QF,F,SF,F,SF,SF,SF,F,QF,SF,SF,SF,P,SF,SF,P,63.224999999999994,87.5,15,1,72.25714285714285,72.25714285714285,6.0,5.0,5,1572.0,120.0,6.0
N,CAPLIN,,NQ,,,,NQ,,,,,,,,,,,,NQ,P,L16,QF,SF,QF,SF,SF,F,SF,QF,SF,SF,QF,QF,SF,SF,SF,P,P,53.239999999999995,78.79999999999998,16,2,67.56345177664976,67.56345177664976,7.0,6.0,6,1528.0,122.825,11.0
M,WISEMAN,,,SF,F,F,F,F,F,,,F,F,,F,F,,,,,,,,F,SF,P,P,P,P,P,QF,P,P,SF,P,P,SF,P,28.895000000000003,43.5,5,1,66.42528735632185,66.42528735632185,8.0,7.0,7,1571.0,120.0,7.0
E,TAYLOR,SF,,SF,,SF,SF,,SF,,QF,SF,,QF,SF,,,QF,QF,SF,SF,SF,QF,QF,QF,P,P,QF,NQ,SF,SF,QF,QF,SF,SF,SF,QF,P,47.86,73.25,16,1,65.33788395904436,65.33788395904436,9.0,8.0,8,1529.0,120.0,10.0
S,TAILOR,,QF,,,NQ,QF,,QF,NQ,,QF,QF,,QF,NQ,,QF,QF,P,SF,P,P,QF,QF,SF,P,P,QF,P,P,SF,SF,QF,P,QF,SF,F,41.75,63.89999999999999,11,0,65.33646322378718,65.33646322378718,10.0,9.0,9,1515.0,120.0,13.0
C,PLUMMER,,,,,,,,,,,,NQ,,L16,,,NQ,NQ,P,L16,P,P,L16,P,P,P,L16,P,P,L16,SF,SF,QF,QF,QF,SF,F,39.169999999999995,61.75,11,0,63.43319838056679,63.43319838056679,11.0,10.0,10,1509.0,120.0,15.0
